VideoId,FiltroId,Filtro,CamadaId,Titulo,Html //terminei na linha 14 - Carcharhinidae
GYdAqWPQTVQ,20063,Characidae,9,Video - Characidae,"<h1>Characidae</h1><p style=""text-align: center;""><iframe title=""Video - Characidae"" src=""https://www.youtube.com/embed/GYdAqWPQTVQ"" width=""320"" height=""560"" frameborder=""0"" allowfullscreen=""allowfullscreen""></iframe></p><p>Conteudo em video para o filtro Characidae.</p>"
0VZ36Ai4VR8,20064,Bryconidae,9,Video - Bryconidae,"<h1>Bryconidae</h1><p style=""text-align: center;""><iframe title=""Video - Bryconidae"" src=""https://www.youtube.com/embed/0VZ36Ai4VR8"" width=""320"" height=""560"" frameborder=""0"" allowfullscreen=""allowfullscreen""></iframe></p><p>Conteudo em video para o filtro Bryconidae.</p>"
dYB8ljLXu3U,20065,Anostomidae,9,Video - Anostomidae,"<h1>Anostomidae</h1><p style=""text-align: center;""><iframe title=""Video - Anostomidae"" src=""https://www.youtube.com/embed/dYB8ljLXu3U"" width=""320"" height=""560"" frameborder=""0"" allowfullscreen=""allowfullscreen""></iframe></p><p>Conteudo em video para o filtro Anostomidae.</p>"
Epaf_7kWU1s,20066,Serrasalmidae,9,Video - Serrasalmidae,"<h1>Serrasalmidae</h1><p style=""text-align: center;""><iframe title=""Video - Serrasalmidae"" src=""https://www.youtube.com/embed/Epaf_7kWU1s"" width=""320"" height=""560"" frameborder=""0"" allowfullscreen=""allowfullscreen""></iframe></p><p>Conteudo em video para o filtro Serrasalmidae.</p>"
-5S8TqGtheg,20067,Pimelodidae,9,Video - Pimelodidae,"<h1>Pimelodidae</h1><p style=""text-align: center;""><iframe title=""Video - Pimelodidae"" src=""https://www.youtube.com/embed/-5S8TqGtheg"" width=""320"" height=""560"" frameborder=""0"" allowfullscreen=""allowfullscreen""></iframe></p><p>Conteudo em video para o filtro Pimelodidae.</p>"
n_ZaOwexZps,20068,Loricariidae,9,Video - Loricariidae,"<h1>Loricariidae</h1><p style=""text-align: center;""><iframe title=""Video - Loricariidae"" src=""https://www.youtube.com/embed/n_ZaOwexZps"" width=""320"" height=""560"" frameborder=""0"" allowfullscreen=""allowfullscreen""></iframe></p><p>Conteudo em video para o filtro Loricariidae.</p>"
MeSGVs5PSrg,20069,Callichthyidae,9,Video - Callichthyidae,"<h1>Callichthyidae</h1><p style=""text-align: center;""><iframe title=""Video - Callichthyidae"" src=""https://www.youtube.com/embed/MeSGVs5PSrg"" width=""320"" height=""560"" frameborder=""0"" allowfullscreen=""allowfullscreen""></iframe></p><p>Conteudo em video para o filtro Callichthyidae.</p>"
LhHyPzW4i5A,20070,Doradidae,9,Video - Doradidae,"<h1>Doradidae</h1><p style=""text-align: center;""><iframe title=""Video - Doradidae"" src=""https://www.youtube.com/embed/LhHyPzW4i5A"" width=""320"" height=""560"" frameborder=""0"" allowfullscreen=""allowfullscreen""></iframe></p><p>Conteudo em video para o filtro Doradidae.</p>"
idDz54iZDZc,20071,Cichlidae,9,Video - Cichlidae,"<h1>Cichlidae</h1><p style=""text-align: center;""><iframe title=""Video - Cichlidae"" src=""https://www.youtube.com/embed/idDz54iZDZc"" width=""320"" height=""560"" frameborder=""0"" allowfullscreen=""allowfullscreen""></iframe></p><p>Conteudo em video para o filtro Cichlidae.</p>"
rNMnfJQ8MXo,20072,Sciaenidae,9,Video - Sciaenidae,"<h1>Sciaenidae</h1><p style=""text-align: center;""><iframe title=""Video - Sciaenidae"" src=""https://www.youtube.com/embed/rNMnfJQ8MXo"" width=""320"" height=""560"" frameborder=""0"" allowfullscreen=""allowfullscreen""></iframe></p><p>Conteudo em video para o filtro Sciaenidae.</p>"
DDNbcH1Fwt4,20073,Scombridae,9,Video - Scombridae,"<h1>Scombridae</h1><p style=""text-align: center;""><iframe title=""Video - Scombridae"" src=""https://www.youtube.com/embed/DDNbcH1Fwt4"" width=""320"" height=""560"" frameborder=""0"" allowfullscreen=""allowfullscreen""></iframe></p><p>Conteudo em video para o filtro Scombridae.</p>"
wyfTiVehDLk,20074,Lamnidae,9,Video - Lamnidae,"<h1>Lamnidae</h1><p style=""text-align: center;""><iframe title=""Video - Lamnidae"" src=""https://www.youtube.com/embed/wyfTiVehDLk"" width=""320"" height=""560"" frameborder=""0"" allowfullscreen=""allowfullscreen""></iframe></p><p>Conteudo em video para o filtro Lamnidae.</p>"
K3UmUwMM4x8,20075,Carcharhinidae,9,Video - Carcharhinidae,"<h1>Carcharhinidae</h1><p style=""text-align: center;""><iframe title=""Video - Carcharhinidae"" src=""https://www.youtube.com/embed/K3UmUwMM4x8"" width=""320"" height=""560"" frameborder=""0"" allowfullscreen=""allowfullscreen""></iframe></p><p>Conteudo em video para o filtro Carcharhinidae.</p>"
WKo-yRJT34I,20076,Sphyrnidae,9,Video - Sphyrnidae,"<h1>Sphyrnidae</h1><p style=""text-align: center;""><iframe title=""Video - Sphyrnidae"" src=""https://www.youtube.com/embed/WKo-yRJT34I"" width=""320"" height=""560"" frameborder=""0"" allowfullscreen=""allowfullscreen""></iframe></p><p>Conteudo em video para o filtro Sphyrnidae.</p>"
ZcCIAVPH7Xo,20077,Potamotrygonidae,9,Video - Potamotrygonidae,"<h1>Potamotrygonidae</h1><p style=""text-align: center;""><iframe title=""Video - Potamotrygonidae"" src=""https://www.youtube.com/embed/ZcCIAVPH7Xo"" width=""320"" height=""560"" frameborder=""0"" allowfullscreen=""allowfullscreen""></iframe></p><p>Conteudo em video para o filtro Potamotrygonidae.</p>"
DJzDnhEiEhY,20078,Myliobatidae,9,Video - Myliobatidae,"<h1>Myliobatidae</h1><p style=""text-align: center;""><iframe title=""Video - Myliobatidae"" src=""https://www.youtube.com/embed/DJzDnhEiEhY"" width=""320"" height=""560"" frameborder=""0"" allowfullscreen=""allowfullscreen""></iframe></p><p>Conteudo em video para o filtro Myliobatidae.</p>"
WQ51QGANk8w,20079,Dasyatidae,9,Video - Dasyatidae,"<h1>Dasyatidae</h1><p style=""text-align: center;""><iframe title=""Video - Dasyatidae"" src=""https://www.youtube.com/embed/WQ51QGANk8w"" width=""320"" height=""560"" frameborder=""0"" allowfullscreen=""allowfullscreen""></iframe></p><p>Conteudo em video para o filtro Dasyatidae.</p>"
EkWVG5xObjs,20080,Gymnuridae,9,Video - Gymnuridae,"<h1>Gymnuridae</h1><p style=""text-align: center;""><iframe title=""Video - Gymnuridae"" src=""https://www.youtube.com/embed/EkWVG5xObjs"" width=""320"" height=""560"" frameborder=""0"" allowfullscreen=""allowfullscreen""></iframe></p><p>Conteudo em video para o filtro Gymnuridae.</p>"
4mh9rLYQpqc,20081,Rajidae,9,Video - Rajidae,"<h1>Rajidae</h1><p style=""text-align: center;""><iframe title=""Video - Rajidae"" src=""https://www.youtube.com/embed/4mh9rLYQpqc"" width=""320"" height=""560"" frameborder=""0"" allowfullscreen=""allowfullscreen""></iframe></p><p>Conteudo em video para o filtro Rajidae.</p>"
Fs73uTdwTlo,20082,Arhynchobatidae,9,Video - Arhynchobatidae,"<h1>Arhynchobatidae</h1><p style=""text-align: center;""><iframe title=""Video - Arhynchobatidae"" src=""https://www.youtube.com/embed/Fs73uTdwTlo"" width=""320"" height=""560"" frameborder=""0"" allowfullscreen=""allowfullscreen""></iframe></p><p>Conteudo em video para o filtro Arhynchobatidae.</p>"
z3KXVRV-ynA,20083,Pristidae,9,Video - Pristidae,"<h1>Pristidae</h1><p style=""text-align: center;""><iframe title=""Video - Pristidae"" src=""https://www.youtube.com/embed/z3KXVRV-ynA"" width=""320"" height=""560"" frameborder=""0"" allowfullscreen=""allowfullscreen""></iframe></p><p>Conteudo em video para o filtro Pristidae.</p>"
S2_lvDEExMA,20084,Rhinobatidae,9,Video - Rhinobatidae,"<h1>Rhinobatidae</h1><p style=""text-align: center;""><iframe title=""Video - Rhinobatidae"" src=""https://www.youtube.com/embed/S2_lvDEExMA"" width=""320"" height=""560"" frameborder=""0"" allowfullscreen=""allowfullscreen""></iframe></p><p>Conteudo em video para o filtro Rhinobatidae.</p>"
taXvCa-SbDo,20085,Torpedinidae,9,Video - Torpedinidae,"<h1>Torpedinidae</h1><p style=""text-align: center;""><iframe title=""Video - Torpedinidae"" src=""https://www.youtube.com/embed/taXvCa-SbDo"" width=""320"" height=""560"" frameborder=""0"" allowfullscreen=""allowfullscreen""></iframe></p><p>Conteudo em video para o filtro Torpedinidae.</p>"
SjvBUaGHZQE,20086,Narcinidae,9,Video - Narcinidae,"<h1>Narcinidae</h1><p style=""text-align: center;""><iframe title=""Video - Narcinidae"" src=""https://www.youtube.com/embed/SjvBUaGHZQE"" width=""320"" height=""560"" frameborder=""0"" allowfullscreen=""allowfullscreen""></iframe></p><p>Conteudo em video para o filtro Narcinidae.</p>"
hDX-em9zZPA,20155,Felidae,9,Video - Felidae,"<h1>Felidae</h1><p style=""text-align: center;""><iframe title=""Video - Felidae"" src=""https://www.youtube.com/embed/hDX-em9zZPA"" width=""320"" height=""560"" frameborder=""0"" allowfullscreen=""allowfullscreen""></iframe></p><p>Conteudo em video para o filtro Felidae.</p>"
Fe3It4plHIw,20156,Canidae,9,Video - Canidae,"<h1>Canidae</h1><p style=""text-align: center;""><iframe title=""Video - Canidae"" src=""https://www.youtube.com/embed/Fe3It4plHIw"" width=""320"" height=""560"" frameborder=""0"" allowfullscreen=""allowfullscreen""></iframe></p><p>Conteudo em video para o filtro Canidae.</p>"
19LTRSerxhs,20157,Cebidae,9,Video - Cebidae,"<h1>Cebidae</h1><p style=""text-align: center;""><iframe title=""Video - Cebidae"" src=""https://www.youtube.com/embed/19LTRSerxhs"" width=""320"" height=""560"" frameborder=""0"" allowfullscreen=""allowfullscreen""></iframe></p><p>Conteudo em video para o filtro Cebidae.</p>"
fQ6rgwPDeZ8,20158,Delphinidae,9,Video - Delphinidae,"<h1>Delphinidae</h1><p style=""text-align: center;""><iframe title=""Video - Delphinidae"" src=""https://www.youtube.com/embed/fQ6rgwPDeZ8"" width=""320"" height=""560"" frameborder=""0"" allowfullscreen=""allowfullscreen""></iframe></p><p>Conteudo em video para o filtro Delphinidae.</p>"
az7jsCGSM8Y,20159,Caviidae,9,Video - Caviidae,"<h1>Caviidae</h1><p style=""text-align: center;""><iframe title=""Video - Caviidae"" src=""https://www.youtube.com/embed/az7jsCGSM8Y"" width=""320"" height=""560"" frameborder=""0"" allowfullscreen=""allowfullscreen""></iframe></p><p>Conteudo em video para o filtro Caviidae.</p>"
