VideoId,FiltroId,Filtro,CamadaId
fJaOQ8WCmDo,20026,Chondrichthyes,5
qtEOAmJPNwg,20027,Osteichthyes,5
pJ41WRSrrOo,20087,Classe Amphibia,5
43ZjdO1WBdk,20110,Classe Reptilia,5
1cHK8D-PG74,20132,Classe Aves,5
zkdbEhQ45ss,20145,Classe Mammalia,5
zmFgTf63tlg,20028,Elasmobranchii,6
55xuuQ0LLfs,20029,Holocephali,6
FuTTBOk50rA,20046,Actinopterygii,6
eMpbAeBJEf8,20047,Sarcopterygii,6
rGthtRZl8B0,20088,Lissamphibia,6
ilxH2oN0spk,20111,Diapsida,6
KkB6UVUcF8M,20112,Anapsida,6
RizOFqayb_I,20133,Neornithes,6
w_1sxA23JtY,20146,Prototheria,6
GxUDW6aeC08,20147,Theria,6
t_6DCJcCq5E,20030,Selachii,7
jUxObdjZNxE,20031,Batoidea,7
I9evJ7An9lk,20032,Quimeras,7
nzLY94Lfsag,20048,Cladistia,7
dl6LhvGdozo,20049,Chondrostei,7
PTrgXao1Ngc,20050,Neopterygii,7
2wyw3nizBQU,20061,Coelacanthiformes,7
c2wSn2yDZeM,20062,Ceratodontiformes,7
UFnyHZ_D9Ks,20089,Anura,7
c_kVr-fhBns,20090,Caudata,7
2i8XlmZ2D1s,20091,Gymnophiona,7
uqo36r9XjDU,20113,Testudines,7
7bHHNhsEh1A,20114,Squamata,7
Z5rCogD4e2k,20115,Crocodylia,7
PfXBlF73oIY,20134,Palaeognathae,7
QVyamz9lAwo,20135,Neognathae,7
F-NZpIOxnQs,20136,Tinamidae,7
sz3Yv3On4lE,20148,Metatheria,7
ax039gMOLSI,20149,Eutheria,7
oi8LQCZG-lw,20033,Carcharhiniformes,8
i1k7NhNlk8I,20034,Lamniformes,8
iUaGplcBU9I,20035,Squaliformes,8
B8Q-L7kfHk4,20036,Orectolobiformes,8
hzvsWUdwjMo,20037,Heterodontiformes,8
2BjHfKnEHz4,20038,Hexanchiformes,8
NzzR7_5iuQo,20039,Pristiophoriformes,8
HZDvBT4MOME,20040,Squatiniformes,8
GGtOBJ_ySIc,20041,Myliobatiformes,8
dMlltRUyhEg,20042,Rajiformes,8
-b5vn1w8_Js,20043,Rhinopristiformes,8
z0M7_HPSi14,20044,Torpediniformes,8
asQhHT_09HM,20045,Chimaeriformes,8
CUmcpz7BtaA,20051,Perciformes,8
nt3_r2UfwxM,20052,Siluriformes,8
FAA0_IcE8-o,20053,Characiformes,8
L0Av37Epiec,20054,Cypriniformes,8
rXkKOXHuO_A,20055,Clupeiformes,8
SBUvopWFPhw,20056,Salmoniformes,8
_nnoQHqcR8U,20057,Gymnotiformes,8
aTdOXMxwfxE,20058,Pleuronectiformes,8
-tTeW5_fJ44,20059,Syngnathiformes,8
YGiLGIyNigs,20060,Tetraodontiformes,8
BvidpapF1bg,20092,Bufonidae,8
r2ji-32SQhM,20093,Hylidae,8
eOE9cEpwnUU,20094,Leptodactylidae,8
2FeyATwdI4M,20095,Dendrobatidae,8
h2SNl7H9KMA,20096,Pipidae,8
ZorYL4n-szc,20097,Centrolenidae,8
lAe7CX5zqRQ,20098,Microhylidae,8
tIsqlxLmDfk,20099,Salamandridae,8
MXqk05y_OZ8,20100,Plethodontidae,8
2qcvs3sJkwM,20101,Ambystomatidae,8
u3Gt5_WIBWU,20102,Cryptobranchidae,8
JAV-dq_K15w,20103,Sirenidae,8
LX5XBTj62VI,20104,Proteidae,8
Hz7-hi1Y0i0,20105,Caeciliidae,8
PqPbjq1sjq0,20106,Typhlonectidae,8
xRxKYq4uqqM,20107,Siphonopidae,8
L2i8zPRLf-c,20108,Dermophiidae,8
a6y1Pn_z39Q,20109,Ichthyophiidae,8
_5jNZyoSszE,20116,Viperidae,8
I7ZbvxV6F8Y,20117,Boidae,8
gubWnR1zjtg,20118,Elapidae,8
p4M0fsO-aW4,20119,Alligatoridae,8
